game_number,opponent_race,game_length_seconds_max_600,inject_time
28,Zerg,600,385.0446428571429
28,Zerg,600,385.26785714285717
28,Zerg,600,387.0089285714286
28,Zerg,600,394.6875
28,Zerg,600,398.4375
28,Zerg,600,405.9375
28,Zerg,600,409.375
28,Zerg,600,431.25
28,Zerg,600,436.6071428571429
28,Zerg,600,442.9464285714286
28,Zerg,600,472.5446428571429
28,Zerg,600,478.03571428571433
28,Zerg,600,504.59821428571433
28,Zerg,600,507.36607142857144
28,Zerg,600,540.2678571428572
28,Zerg,600,541.1607142857143
28,Zerg,600,542.5
28,Zerg,600,545.8035714285714
28,Zerg,600,557.5446428571429
28,Zerg,600,564.6875
28,Zerg,600,575.1339285714286
28,Zerg,600,575.4910714285714
28,Zerg,600,589.1517857142858
28,Zerg,600,594.7321428571429
29,Zerg,340,153.6607142857143
29,Zerg,340,185.89285714285717
29,Zerg,340,211.1607142857143
29,Zerg,340,213.21428571428572
29,Zerg,340,241.11607142857144
29,Zerg,340,242.36607142857144
29,Zerg,340,250.5357142857143
29,Zerg,340,261.20535714285717
29,Zerg,340,265.89285714285717
29,Zerg,340,278.39285714285717
29,Zerg,340,278.70535714285717
29,Zerg,340,310.89285714285717
29,Zerg,340,315.17857142857144
30,Terran,600,149.77678571428572
30,Terran,600,185.8482142857143
30,Terran,600,206.96428571428572
30,Terran,600,218.16964285714286
30,Terran,600,251.65178571428572
